0 -nan -nan -nan -nan 
0.398 0.0661886 0.025192 0.558915 0.563696 
0.399 0.0630122 0.0261339 0.582761 0.587297 
0.4 0.0599444 0.0270469 0.606256 0.610533 
0.401 0.0569907 0.0279289 0.629343 0.633351 
0.402 0.0541563 0.0287778 0.651971 0.655697 
0.403 0.0514459 0.0295918 0.674089 0.677524 
0.404 0.0488637 0.030369 0.695649 0.698785 
0.405 0.0464135 0.031108 0.716606 0.719435 
0.406 0.0440985 0.0318074 0.736918 0.739432 
0.407 0.0419218 0.0324659 0.756544 0.758739 
0.408 0.0398857 0.0330824 0.775447 0.777318 
0.409 0.0379923 0.0336562 0.793593 0.795137 
0.41 0.0362432 0.0341862 0.810951 0.812164 
0.411 0.0346396 0.034672 0.827489 0.828371 
0.412 0.0331824 0.0351131 0.843184 0.843732 
0.413 0.031872 0.035509 0.858009 0.858225 
0.414 0.0307086 0.0358597 0.871945 0.871829 
0.415 0.0296917 0.036165 0.884972 0.884526 
0.416 0.0288208 0.0364249 0.897075 0.896301 
0.417 0.028095 0.0366397 0.908239 0.907142 
0.418 0.027513 0.0368096 0.918454 0.917037 
0.419 0.0270733 0.0369349 0.927712 0.925978 
0.42 0.0267739 0.0370163 0.936004 0.933961 
0.421 0.0266128 0.0370542 0.943328 0.940981 
0.422 0.0265876 0.0370494 0.949682 0.947037 
0.423 0.0266958 0.0370026 0.955065 0.952131 
0.424 0.0269343 0.0369146 0.959481 0.956264 
0.425 0.0273002 0.0367866 0.962934 0.959442 
0.426 0.0277903 0.0366193 0.965429 0.961672 
0.427 0.028401 0.0364139 0.966976 0.962962 
0.428 0.0291289 0.0361716 0.967584 0.963323 
0.429 0.02997 0.0358935 0.967265 0.962767 
0.43 0.0309206 0.0355809 0.966032 0.961306 
0.431 0.0319765 0.035235 0.963901 0.958958 
0.432 0.0331337 0.0348572 0.960887 0.955737 
0.433 0.0343878 0.0344488 0.957008 0.951662 
0.434 0.0357346 0.0340113 0.952283 0.946753 
0.435 0.0371695 0.033546 0.946733 0.941029 
0.436 0.0386882 0.0330544 0.940379 0.934513 
0.437 0.0402861 0.0325381 0.933244 0.927226 
0.438 0.0419586 0.0319983 0.925351 0.919193 
0.439 0.0437011 0.0314368 0.916723 0.910438 
0.44 0.045509 0.0308548 0.907388 0.900985 
0.441 0.0473777 0.030254 0.89737 0.890862 
0.442 0.0493024 0.0296359 0.886696 0.880094 
0.443 0.0512787 0.0290019 0.875394 0.868709 
0.444 0.0533018 0.0283535 0.863491 0.856734 
0.445 0.0553672 0.0276921 0.851016 0.844198 
0.446 0.0574704 0.0270194 0.837997 0.83113 
0.447 0.0596068 0.0263366 0.824462 0.817557 
0.448 0.061772 0.0256453 0.810443 0.803509 
0.449 0.0639616 0.0249468 0.795967 0.789016 
0.45 0.0661713 0.0242425 0.781064 0.774107 
0.451 0.0683969 0.0235338 0.765765 0.758811 
0.452 0.070634 0.022822 0.750099 0.743157 
0.453 0.0728788 0.0221084 0.734095 0.727176 
0.454 0.075127 0.0213942 0.717783 0.710896 
0.455 0.0773748 0.0206808 0.701192 0.694347 
0.456 0.0796185 0.0199693 0.684353 0.677558 
0.457 0.0818541 0.0192608 0.667293 0.660557 
0.458 0.0840782 0.0185565 0.650043 0.643373 
0.459 0.0862873 0.0178576 0.632629 0.626035 
0.46 0.0884778 0.017165 0.615081 0.60857 
0.461 0.0906465 0.0164797 0.597426 0.591005 
0.462 0.0927902 0.0158028 0.579691 0.573368 
0.463 0.0949058 0.0151352 0.561903 0.555684 
0.464 0.0969905 0.0144777 0.54409 0.537981 
0.465 0.0990413 0.0138312 0.526275 0.520284 
0.466 0.101056 0.0131965 0.508486 0.502618 
0.467 0.103031 0.0125745 0.490746 0.485006 
0.468 0.104964 0.0119658 0.47308 0.467474 
0.469 0.106854 0.011371 0.455511 0.450044 
0.47 0.108697 0.0107909 0.438062 0.432738 
0.471 0.110492 0.0102261 0.420756 0.41558 
0.472 0.112237 0.00967711 0.403614 0.398589 
0.473 0.113929 0.00914443 0.386657 0.381788 
0.474 0.115568 0.00862857 0.369906 0.365195 
0.475 0.117151 0.00812997 0.353379 0.348829 
0.476 0.118677 0.00764903 0.337096 0.33271 
0.477 0.120145 0.00718612 0.321074 0.316855 
0.478 0.121553 0.00674155 0.305331 0.301282 
0.479 0.1229 0.00631562 0.289885 0.286005 
0.48 0.124185 0.00590859 0.27475 0.271042 
0.481 0.125407 0.00552065 0.259941 0.256408 
0.482 0.126565 0.005152 0.245474 0.242115 
0.483 0.127659 0.00480279 0.231362 0.228178 
0.484 0.128688 0.00447312 0.217617 0.214609 
0.485 0.129651 0.00416307 0.204253 0.20142 
0.486 0.130548 0.0038727 0.19128 0.188623 
0.487 0.131379 0.00360202 0.17871 0.176228 
0.488 0.132143 0.00335103 0.166551 0.164245 
0.489 0.132841 0.00311968 0.154815 0.152683 
0.49 0.133471 0.0029079 0.143509 0.14155 
